accid,gene,uniprot_id,gene_synonym,gene_orfname,reviewed
O00442,RTCA,RTCA_HUMAN,RPC1,none,Y
O00442,RTCA,RTCA_HUMAN,RTCD1,none,Y
O00442,RTCA,RTCA_HUMAN,RPC,none,Y
O00443,PIK3C2A,P3C2A_HUMAN,none,none,Y
O00444,PLK4,PLK4_HUMAN,SAK,none,Y
O00444,PLK4,PLK4_HUMAN,STK18,none,Y
O00445,SYT5,SYT5_HUMAN,none,none,Y
O00451,GFRA2,GFRA2_HUMAN,RETL2,none,Y
O00451,GFRA2,GFRA2_HUMAN,GDNFRB,none,Y
O00451,GFRA2,GFRA2_HUMAN,TRNR2,none,Y
O00453,LST1,LST1_HUMAN,B144,none,Y
O00458,IFRD1,IFRD1_HUMAN,none,none,Y
O00459,PIK3R2,P85B_HUMAN,none,none,Y
O00461,GOLIM4,GOLI4_HUMAN,GIMPC,none,Y
O00461,GOLIM4,GOLI4_HUMAN,GOLPH4,none,Y
O00461,GOLIM4,GOLI4_HUMAN,GPP130,none,Y
O00462,MANBA,MANBA_HUMAN,MANB1,none,Y
O00463,TRAF5,TRAF5_HUMAN,RNF84,none,Y
O00468,AGRN,AGRIN_HUMAN,AGRIN,none,Y
O00469,PLOD2,PLOD2_HUMAN,none,none,Y
O00470,MEIS1,MEIS1_HUMAN,none,none,Y
O00471,EXOC5,EXOC5_HUMAN,SEC10L1,none,Y
O00471,EXOC5,EXOC5_HUMAN,SEC10,none,Y
O00472,ELL2,ELL2_HUMAN,none,none,Y
O00476,SLC17A3,NPT4_HUMAN,NPT4,none,Y
O00478,BTN3A3,BT3A3_HUMAN,BTF3,none,Y
O00479,HMGN4,HMGN4_HUMAN,NHC,none,Y
O00479,HMGN4,HMGN4_HUMAN,HMG17L3,none,Y
O00481,BTN3A1,BT3A1_HUMAN,BTF5,none,Y
O00482,NR5A2,NR5A2_HUMAN,B1F,none,Y
O00482,NR5A2,NR5A2_HUMAN,CPF,none,Y
O00482,NR5A2,NR5A2_HUMAN,FTF,none,Y
O00483,NDUFA4,NDUA4_HUMAN,none,none,Y
O00487,PSMD14,PSDE_HUMAN,POH1,none,Y
O00488,ZNF593,ZN593_HUMAN,ZT86,none,Y
O00499,BIN1,BIN1_HUMAN,AMPHL,none,Y
O00501,CLDN5,CLD5_HUMAN,TMVCF,none,Y
O00501,CLDN5,CLD5_HUMAN,AWAL,none,Y
O00505,KPNA3,IMA4_HUMAN,QIP2,none,Y
O00506,STK25,STK25_HUMAN,SOK1,none,Y
O00506,STK25,STK25_HUMAN,YSK1,none,Y
O00507,USP9Y,USP9Y_HUMAN,DFFRY,none,Y
O00512,BCL9,BCL9_HUMAN,none,none,Y
O00515,LAD1,LAD1_HUMAN,LAD,none,Y
O00519,FAAH,FAAH1_HUMAN,FAAH1,none,Y
O00522,KRIT1,KRIT1_HUMAN,CCM1,none,Y
O00526,UPK2,UPK2_HUMAN,none,none,Y
O00533,CHL1,NCHL1_HUMAN,CALL,none,Y
O00534,VWA5A,VMA5A_HUMAN,BCSC1,none,Y
O00534,VWA5A,VMA5A_HUMAN,LOH11CR2A,none,Y
O00541,PES1,PESC_HUMAN,none,none,Y
O00548,DLL1,DLL1_HUMAN,none,UNQ146/PRO172,Y
O00555,CACNA1A,CAC1A_HUMAN,CACN3,none,Y
O00555,CACNA1A,CAC1A_HUMAN,CACH4,none,Y
O00555,CACNA1A,CAC1A_HUMAN,CACNL1A4,none,Y
O00559,EBAG9,RCAS1_HUMAN,RCAS1,none,Y
O00560,SDCBP,SDCB1_HUMAN,MDA9,none,Y
O00560,SDCBP,SDCB1_HUMAN,SYCL,none,Y
O00562,PITPNM1,PITM1_HUMAN,NIR2,none,Y
O00562,PITPNM1,PITM1_HUMAN,DRES9,none,Y
O00562,PITPNM1,PITM1_HUMAN,PITPNM,none,Y
O00566,MPHOSPH10,MPP10_HUMAN,MPP10,none,Y
O00567,NOP56,NOP56_HUMAN,NOL5A,none,Y
O00570,SOX1,SOX1_HUMAN,none,none,Y
O00571,DDX3X,DDX3X_HUMAN,DDX3,none,Y
O00571,DDX3X,DDX3X_HUMAN,DBX,none,Y
O00574,CXCR6,CXCR6_HUMAN,BONZO,none,Y
O00574,CXCR6,CXCR6_HUMAN,TYMSTR,none,Y
O00574,CXCR6,CXCR6_HUMAN,STRL33,none,Y
O00584,RNASET2,RNT2_HUMAN,RNASE6PL,none,Y
O00585,CCL21,CCL21_HUMAN,SCYA21,UNQ784/PRO1600,Y
O00587,MFNG,MFNG_HUMAN,none,none,Y
O00590,ACKR2,ACKR2_HUMAN,CCBP2,none,Y
O00590,ACKR2,ACKR2_HUMAN,D6,none,Y
O00590,ACKR2,ACKR2_HUMAN,CMKBR9,none,Y
O00590,ACKR2,ACKR2_HUMAN,CCR10,none,Y
O00591,GABRP,GBRP_HUMAN,none,none,Y
O00592,PODXL,PODXL_HUMAN,PCLP1,none,Y
O00592,PODXL,PODXL_HUMAN,PCLP,none,Y
O00602,FCN1,FCN1_HUMAN,FCNM,none,Y
O00622,CCN1,CCN1_HUMAN,IGFBP10,none,Y
O00622,CCN1,CCN1_HUMAN,GIG1,none,Y
O00622,CCN1,CCN1_HUMAN,CYR61,none,Y
O00623,PEX12,PEX12_HUMAN,PAF3,none,Y
O00624,SLC17A2,NPT3_HUMAN,NPT3,none,Y
O00625,PIR,PIR_HUMAN,none,none,Y
O00626,CCL22,CCL22_HUMAN,SCYA22,A-152E5.1,Y
O00626,CCL22,CCL22_HUMAN,MDC,A-152E5.1,Y
O00628,PEX7,PEX7_HUMAN,PTS2R,none,Y
O00629,KPNA4,IMA3_HUMAN,QIP1,none,Y
O00631,SLN,SARCO_HUMAN,none,none,Y
O00634,NTN3,NET3_HUMAN,NTN2L,none,Y
O00635,TRIM38,TRI38_HUMAN,RORET,none,Y
O00635,TRIM38,TRI38_HUMAN,RNF15,none,Y
O00712,NFIB,NFIB_HUMAN,none,none,Y
O00716,E2F3,E2F3_HUMAN,KIAA0075,none,Y
O00743,PPP6C,PPP6_HUMAN,PPP6,none,Y
O00744,WNT10B,WN10B_HUMAN,WNT12,none,Y
O00746,NME4,NDKM_HUMAN,NM23D,none,Y
O00748,CES2,EST2_HUMAN,ICE,none,Y
O00750,PIK3C2B,P3C2B_HUMAN,none,none,Y
O00754,MAN2B1,MA2B1_HUMAN,MANB,none,Y
O00754,MAN2B1,MA2B1_HUMAN,LAMAN,none,Y
O00755,WNT7A,WNT7A_HUMAN,none,none,Y
O00757,FBP2,F16P2_HUMAN,none,none,Y
O00762,UBE2C,UBE2C_HUMAN,UBCH10,none,Y
O00763,ACACB,ACACB_HUMAN,ACC2,none,Y
O00763,ACACB,ACACB_HUMAN,ACCB,none,Y
O00764,PDXK,PDXK_HUMAN,PKH,PRED79,Y
O00764,PDXK,PDXK_HUMAN,C21orf97,PRED79,Y
O00764,PDXK,PDXK_HUMAN,C21orf124,PRED79,Y
O00764,PDXK,PDXK_HUMAN,PNK,PRED79,Y
O00767,SCD,ACOD_HUMAN,none,none,Y
O14490,DLGAP1,DLGP1_HUMAN,DAP1,none,Y
O14490,DLGAP1,DLGP1_HUMAN,GKAP,none,Y
O14492,SH2B2,SH2B2_HUMAN,APS,none,Y
O14493,CLDN4,CLD4_HUMAN,CPETR1,none,Y
O14493,CLDN4,CLD4_HUMAN,CPER,none,Y
O14493,CLDN4,CLD4_HUMAN,WBSCR8,none,Y
O14494,PLPP1,PLPP1_HUMAN,LPP1,none,Y
O14494,PLPP1,PLPP1_HUMAN,PPAP2A,none,Y
O14495,PLPP3,PLPP3_HUMAN,LPP3,none,Y
O14495,PLPP3,PLPP3_HUMAN,PPAP2B,none,Y
O14497,ARID1A,ARI1A_HUMAN,C1orf4,none,Y
O14497,ARID1A,ARI1A_HUMAN,OSA1,none,Y
O14497,ARID1A,ARI1A_HUMAN,BAF250A,none,Y
O14497,ARID1A,ARI1A_HUMAN,BAF250,none,Y
O14497,ARID1A,ARI1A_HUMAN,SMARCF1,none,Y
O14498,ISLR,ISLR_HUMAN,none,UNQ189/PRO215,Y
O14503,BHLHE40,BHE40_HUMAN,STRA13,none,Y
O14503,BHLHE40,BHE40_HUMAN,BHLHB2,none,Y
O14503,BHLHE40,BHE40_HUMAN,SHARP2,none,Y
O14503,BHLHE40,BHE40_HUMAN,DEC1,none,Y
O14508,SOCS2,SOCS2_HUMAN,STATI2,none,Y
O14508,SOCS2,SOCS2_HUMAN,CIS2,none,Y
O14508,SOCS2,SOCS2_HUMAN,SSI2,none,Y
O14511,NRG2,NRG2_HUMAN,NTAK,none,Y
O14512,SOCS7,SOCS7_HUMAN,SOCS6,none,Y
O14512,SOCS7,SOCS7_HUMAN,NAP4,none,Y
O14513,NCKAP5,NCKP5_HUMAN,NAP5,none,Y
O14513,NCKAP5,NCKP5_HUMAN,ERIH,none,Y
O14514,ADGRB1,AGRB1_HUMAN,BAI1,none,Y
O14519,CDK2AP1,CDKA1_HUMAN,CDKAP1,none,Y
O14519,CDK2AP1,CDKA1_HUMAN,DOC1,none,Y
O14520,AQP7,AQP7_HUMAN,AQP7L,none,Y
O14520,AQP7,AQP7_HUMAN,AQP9,none,Y
O14521,SDHD,DHSD_HUMAN,SDH4,none,Y
O14522,PTPRT,PTPRT_HUMAN,KIAA0283,none,Y
O14523,C2CD2L,C2C2L_HUMAN,KIAA0285,DLNB23,Y
O14523,C2CD2L,C2C2L_HUMAN,TMEM24,DLNB23,Y
O14524,NEMP1,NEMP1_HUMAN,KIAA0286,none,Y
O14524,NEMP1,NEMP1_HUMAN,TMEM194A,none,Y
O14524,NEMP1,NEMP1_HUMAN,TMEM194,none,Y
O14525,ASTN1,ASTN1_HUMAN,KIAA0289,none,Y
O14525,ASTN1,ASTN1_HUMAN,ASTN,none,Y
O14526,FCHO1,FCHO1_HUMAN,KIAA0290,none,Y
O14529,CUX2,CUX2_HUMAN,CUTL2,none,Y
O14529,CUX2,CUX2_HUMAN,KIAA0293,none,Y
O14530,TXNDC9,TXND9_HUMAN,APACD,none,Y
O14531,DPYSL4,DPYL4_HUMAN,CRMP3,none,Y
O14531,DPYSL4,DPYL4_HUMAN,ULIP4,none,Y
O14543,SOCS3,SOCS3_HUMAN,CIS3,none,Y
O14543,SOCS3,SOCS3_HUMAN,SSI3,none,Y
O14544,SOCS6,SOCS6_HUMAN,SOCS4,none,Y
O14544,SOCS6,SOCS6_HUMAN,CIS4,none,Y
O14545,TRAFD1,TRAD1_HUMAN,FLN29,none,Y
O14548,COX7A2L,COX7R_HUMAN,COX7RP,none,Y
O14548,COX7A2L,COX7R_HUMAN,COX7AR,none,Y
O14556,GAPDHS,G3PT_HUMAN,GAPDS,HSD-35,Y
O14556,GAPDHS,G3PT_HUMAN,GAPDS,HSD35,Y
O14556,GAPDHS,G3PT_HUMAN,GAPD2,HSD-35,Y
O14556,GAPDHS,G3PT_HUMAN,GAPD2,HSD35,Y
O14556,GAPDHS,G3PT_HUMAN,GAPDH2,HSD-35,Y
O14556,GAPDHS,G3PT_HUMAN,GAPDH2,HSD35,Y
O14558,HSPB6,HSPB6_HUMAN,none,none,Y
O14559,ARHGAP33,RHG33_HUMAN,TCGAP,none,Y
O14559,ARHGAP33,RHG33_HUMAN,SNX26,none,Y
O14561,NDUFAB1,ACPM_HUMAN,none,none,Y
O14562,UBFD1,UBFD1_HUMAN,UBPH,none,Y
O14569,CYB561D2,C56D2_HUMAN,101F6,LUCA12.2,Y
O14576,DYNC1I1,DC1I1_HUMAN,DNCIC1,none,Y
O14576,DYNC1I1,DC1I1_HUMAN,DNCI1,none,Y
O14578,CIT,CTRO_HUMAN,CRIK,none,Y
O14578,CIT,CTRO_HUMAN,STK21,none,Y
O14578,CIT,CTRO_HUMAN,KIAA0949,none,Y
O14579,COPE,COPE_HUMAN,none,none,Y
O14581,OR7A17,OR7AH_HUMAN,none,none,Y
O14593,RFXANK,RFXK_HUMAN,ANKRA1,none,Y
O14593,RFXANK,RFXK_HUMAN,RFXB,none,Y
O14594,NCAN,NCAN_HUMAN,NEUR,none,Y
O14594,NCAN,NCAN_HUMAN,CSPG3,none,Y
O14595,CTDSP2,CTDS2_HUMAN,NIF2,none,Y
O14595,CTDSP2,CTDS2_HUMAN,SCP2,none,Y
O14595,CTDSP2,CTDS2_HUMAN,OS4,none,Y
O14598,VCY,VCY1_HUMAN,BPY1,none,Y
O14598,VCY,VCY1_HUMAN,VCY1A,none,Y
O14598,VCY,VCY1_HUMAN,BPY1B,none,Y
O14598,VCY1B,VCY1_HUMAN,BPY1,none,Y
O14598,VCY1B,VCY1_HUMAN,VCY1A,none,Y
O14598,VCY1B,VCY1_HUMAN,BPY1B,none,Y
O14599,BPY2C,VCY2_HUMAN,VCY2C,none,Y
O14599,BPY2B,VCY2_HUMAN,VCY2C,none,Y
O14599,BPY2B,VCY2_HUMAN,BPY2A,none,Y
O14599,BPY2B,VCY2_HUMAN,VCY2B,none,Y
O14599,BPY2B,VCY2_HUMAN,VCY2,none,Y
O14599,BPY2B,VCY2_HUMAN,VCY2A,none,Y
O14599,BPY2C,VCY2_HUMAN,BPY2A,none,Y
O14599,BPY2C,VCY2_HUMAN,VCY2B,none,Y
O14599,BPY2C,VCY2_HUMAN,VCY2,none,Y
O14599,BPY2C,VCY2_HUMAN,VCY2A,none,Y
O14599,BPY2,VCY2_HUMAN,VCY2C,none,Y
O14599,BPY2,VCY2_HUMAN,BPY2A,none,Y
O14599,BPY2,VCY2_HUMAN,VCY2B,none,Y
O14599,BPY2,VCY2_HUMAN,VCY2,none,Y
O14599,BPY2,VCY2_HUMAN,VCY2A,none,Y
O14602,EIF1AY,IF1AY_HUMAN,none,none,Y
O14603,PRY2,PRY_HUMAN,PRY1,none,Y
O14603,PRYP3,PRY_HUMAN,PRY1,none,Y
O14603,PRYP3,PRY_HUMAN,PTPN13LY2,none,Y
O14603,PRYP4,PRY_HUMAN,PTPN13LY2,none,Y
O14603,PRY2,PRY_HUMAN,PTPN13LY,none,Y
O14603,PRY2,PRY_HUMAN,PTPN13LY2,none,Y
O14603,PRY,PRY_HUMAN,PTPN13LY,none,Y
O14603,PRY,PRY_HUMAN,PTPN13LY2,none,Y
O14603,PRY,PRY_HUMAN,PRY1,none,Y
O14603,PRYP3,PRY_HUMAN,PTPN13LY,none,Y
O14603,PRYP4,PRY_HUMAN,PTPN13LY,none,Y
O14603,PRYP4,PRY_HUMAN,PRY1,none,Y
O14604,TMSB4Y,TYB4Y_HUMAN,TB4Y,none,Y
O14607,UTY,UTY_HUMAN,KDM6C,none,Y
O14609,XKRY,XKRY_HUMAN,XKRY1,none,Y
O14610,GNGT2,GBGT2_HUMAN,GNGT8,none,Y
O14610,GNGT2,GBGT2_HUMAN,GNG8,none,Y
O14610,GNGT2,GBGT2_HUMAN,GNG9,none,Y
O14613,CDC42EP2,BORG1_HUMAN,BORG1,none,Y
O14613,CDC42EP2,BORG1_HUMAN,CEP2,none,Y
O14617,AP3D1,AP3D1_HUMAN,none,PRO0039,Y
O14618,CCS,CCS_HUMAN,none,none,Y
O14625,CXCL11,CXL11_HUMAN,SCYB11,none,Y
O14625,CXCL11,CXL11_HUMAN,SCYB9B,none,Y
O14625,CXCL11,CXL11_HUMAN,ITAC,none,Y
O14626,GPR171,GP171_HUMAN,H963,none,Y
O14627,CDX4,CDX4_HUMAN,none,none,Y
O14628,ZNF195,ZN195_HUMAN,ZNFP104,none,Y
O14633,LCE2B,LCE2B_HUMAN,LEP10,none,Y
O14633,LCE2B,LCE2B_HUMAN,XP5,none,Y
O14633,LCE2B,LCE2B_HUMAN,SPRL1B,none,Y
O14638,ENPP3,ENPP3_HUMAN,PDNP3,none,Y
O14639,ABLIM1,ABLM1_HUMAN,ABLIM,none,Y
O14639,ABLIM1,ABLM1_HUMAN,KIAA0059,none,Y
O14639,ABLIM1,ABLM1_HUMAN,LIMAB1,none,Y
O14640,DVL1,DVL1_HUMAN,none,none,Y
O14641,DVL2,DVL2_HUMAN,none,none,Y
O14645,DNALI1,IDLC_HUMAN,none,none,Y
O14646,CHD1,CHD1_HUMAN,none,none,Y
O14647,CHD2,CHD2_HUMAN,none,none,Y
O14649,KCNK3,KCNK3_HUMAN,TASK1,none,Y
O14649,KCNK3,KCNK3_HUMAN,TASK,none,Y
O14653,GOSR2,GOSR2_HUMAN,GS27,none,Y
O14654,IRS4,IRS4_HUMAN,none,none,Y
O14656,TOR1A,TOR1A_HUMAN,TORA,none,Y
O14656,TOR1A,TOR1A_HUMAN,DYT1,none,Y
O14656,TOR1A,TOR1A_HUMAN,TA,none,Y
O14656,TOR1A,TOR1A_HUMAN,DQ2,none,Y
O14657,TOR1B,TOR1B_HUMAN,DQ1,FKSG18,Y
O14662,STX16,STX16_HUMAN,none,none,Y
O14668,PRRG1,TMG1_HUMAN,TMG1,none,Y
O14668,PRRG1,TMG1_HUMAN,PRGP1,none,Y
O14669,PRRG2,TMG2_HUMAN,PRGP2,none,Y
O14669,PRRG2,TMG2_HUMAN,TMG2,none,Y
O14672,ADAM10,ADA10_HUMAN,MADM,none,Y
O14672,ADAM10,ADA10_HUMAN,KUZ,none,Y
O14678,ABCD4,ABCD4_HUMAN,PXMP1L,none,Y
O14681,EI24,EI24_HUMAN,PIG8,none,Y
O14682,ENC1,ENC1_HUMAN,PIG10,none,Y
O14682,ENC1,ENC1_HUMAN,NRPB,none,Y
O14682,ENC1,ENC1_HUMAN,KLHL37,none,Y
O14683,TP53I11,P5I11_HUMAN,PIG11,none,Y
O14684,PTGES,PTGES_HUMAN,PGES,none,Y
O14684,PTGES,PTGES_HUMAN,PIG12,none,Y
O14684,PTGES,PTGES_HUMAN,MPGES1,none,Y
O14684,PTGES,PTGES_HUMAN,MGST1L1,none,Y
O14686,KMT2D,KMT2D_HUMAN,MLL2,none,Y
O14686,KMT2D,KMT2D_HUMAN,MLL4,none,Y
O14686,KMT2D,KMT2D_HUMAN,ALR,none,Y
O14709,ZNF197,ZN197_HUMAN,ZNF166,none,Y
O14709,ZNF197,ZN197_HUMAN,ZKSCAN9,none,Y
O14713,ITGB1BP1,ITBP1_HUMAN,ICAP1,none,Y
O14715,RGPD8,RGPD8_HUMAN,RANBP2ALPHA,none,Y
O14715,RGPD8,RGPD8_HUMAN,RANBP2L3,none,Y
O14715,RGPD8,RGPD8_HUMAN,RANBP2L1,none,Y
O14717,TRDMT1,TRDMT_HUMAN,DNMT2,none,Y
O14718,RRH,OPSX_HUMAN,none,none,Y
O14727,APAF1,APAF_HUMAN,KIAA0413,none,Y
O14730,RIOK3,RIOK3_HUMAN,SUDD,none,Y
O14732,IMPA2,IMPA2_HUMAN,IMP.18P,none,Y
O14733,MAP2K7,MP2K7_HUMAN,SKK4,none,Y
O14733,MAP2K7,MP2K7_HUMAN,JNKK2,none,Y
O14733,MAP2K7,MP2K7_HUMAN,MEK7,none,Y
O14733,MAP2K7,MP2K7_HUMAN,PRKMK7,none,Y
O14733,MAP2K7,MP2K7_HUMAN,MKK7,none,Y
O14734,ACOT8,ACOT8_HUMAN,ACTEIII,none,Y
O14734,ACOT8,ACOT8_HUMAN,PTE1,none,Y
O14735,CDIPT,CDIPT_HUMAN,PIS1,none,Y
O14735,CDIPT,CDIPT_HUMAN,PIS,none,Y
O14737,PDCD5,PDCD5_HUMAN,TFAR19,none,Y
O14744,PRMT5,ANM5_HUMAN,SKB1,none,Y
O14744,PRMT5,ANM5_HUMAN,HRMT1L5,none,Y
O14744,PRMT5,ANM5_HUMAN,IBP72,none,Y
O14744,PRMT5,ANM5_HUMAN,JBP1,none,Y
O14745,SLC9A3R1,NHRF1_HUMAN,NHERF1,none,Y
O14745,SLC9A3R1,NHRF1_HUMAN,NHERF,none,Y
O14746,TERT,TERT_HUMAN,TRT,none,Y
O14746,TERT,TERT_HUMAN,EST2,none,Y
O14746,TERT,TERT_HUMAN,TCS1,none,Y
O14753,OVOL1,OVOL1_HUMAN,none,none,Y
O14756,HSD17B6,H17B6_HUMAN,SDR9C6,none,Y
O14756,HSD17B6,H17B6_HUMAN,RODH,none,Y
O14757,CHEK1,CHK1_HUMAN,CHK1,none,Y
O14763,TNFRSF10B,TR10B_HUMAN,TRAILR2,UNQ160/PRO186,Y
O14763,TNFRSF10B,TR10B_HUMAN,DR5,UNQ160/PRO186,Y
O14763,TNFRSF10B,TR10B_HUMAN,TRICK2,UNQ160/PRO186,Y
O14763,TNFRSF10B,TR10B_HUMAN,ZTNFR9,UNQ160/PRO186,Y
O14763,TNFRSF10B,TR10B_HUMAN,KILLER,UNQ160/PRO186,Y
O14764,GABRD,GBRD_HUMAN,none,none,Y
O14770,MEIS2,MEIS2_HUMAN,MRG1,none,Y
O14771,ZNF213,ZN213_HUMAN,ZKSCAN21,none,Y
O14772,FPGT,FPGT_HUMAN,GFPP,none,Y
O14773,TPP1,TPP1_HUMAN,CLN2,UNQ267/PRO304,Y
O14773,TPP1,TPP1_HUMAN,CLN2,GIG1,Y
O14775,GNB5,GNB5_HUMAN,none,none,Y
O14776,TCERG1,TCRG1_HUMAN,TAF2S,none,Y
O14776,TCERG1,TCRG1_HUMAN,CA150,none,Y
O14777,NDC80,NDC80_HUMAN,KNTC2,none,Y
O14777,NDC80,NDC80_HUMAN,HEC,none,Y
O14777,NDC80,NDC80_HUMAN,HEC1,none,Y
O14782,KIF3C,KIF3C_HUMAN,none,none,Y
O14786,NRP1,NRP1_HUMAN,VEGF165R,none,Y
O14786,NRP1,NRP1_HUMAN,NRP,none,Y
O14787,TNPO2,TNPO2_HUMAN,none,none,Y
O14788,TNFSF11,TNF11_HUMAN,TRANCE,none,Y
O14788,TNFSF11,TNF11_HUMAN,OPGL,none,Y
O14788,TNFSF11,TNF11_HUMAN,RANKL,none,Y
O14791,APOL1,APOL1_HUMAN,APOL,none,Y
O14792,HS3ST1,HS3S1_HUMAN,3OST1,none,Y
O14792,HS3ST1,HS3S1_HUMAN,3OST,none,Y
O14793,MSTN,GDF8_HUMAN,GDF8,none,Y
O14795,UNC13B,UN13B_HUMAN,UNC13,none,Y
O14796,SH2D1B,SH21B_HUMAN,EAT2,none,Y
O14798,TNFRSF10C,TR10C_HUMAN,DCR1,UNQ321/PRO366,Y
O14798,TNFRSF10C,TR10C_HUMAN,TRID,UNQ321/PRO366,Y
O14798,TNFRSF10C,TR10C_HUMAN,LIT,UNQ321/PRO366,Y
O14798,TNFRSF10C,TR10C_HUMAN,TRAILR3,UNQ321/PRO366,Y
O14802,POLR3A,RPC1_HUMAN,none,none,Y
O14804,TAAR5,TAAR5_HUMAN,PNR,none,Y
O14807,MRAS,RASM_HUMAN,RRAS3,none,Y
O14810,CPLX1,CPLX1_HUMAN,none,none,Y
O14813,PHOX2A,PHX2A_HUMAN,ARIX,none,Y
O14813,PHOX2A,PHX2A_HUMAN,PMX2A,none,Y
O14815,CAPN9,CAN9_HUMAN,NCL4,none,Y
O14817,TSPAN4,TSN4_HUMAN,NAG2,none,Y
O14817,TSPAN4,TSN4_HUMAN,TM4SF7,none,Y
O14818,PSMA7,PSA7_HUMAN,HSPC,none,Y
O14827,RASGRF2,RGRF2_HUMAN,GRF2,none,Y
O14828,SCAMP3,SCAM3_HUMAN,PROPIN1,none,Y
O14828,SCAMP3,SCAM3_HUMAN,C1orf3,none,Y
O14829,PPEF1,PPE1_HUMAN,PPP7C,none,Y
O14829,PPEF1,PPE1_HUMAN,PPEF,none,Y
O14830,PPEF2,PPE2_HUMAN,none,none,Y
O14832,PHYH,PAHX_HUMAN,PAHX,none,Y
O14836,TNFRSF13B,TR13B_HUMAN,TACI,none,Y
O14841,OPLAH,OPLA_HUMAN,none,none,Y
O14842,FFAR1,FFAR1_HUMAN,GPR40,none,Y
O14843,FFAR3,FFAR3_HUMAN,GPR41,none,Y
O14862,AIM2,AIM2_HUMAN,none,none,Y
O14863,SLC30A4,ZNT4_HUMAN,ZNT4,none,Y
O14867,BACH1,BACH1_HUMAN,none,none,Y
O14874,BCKDK,BCKD_HUMAN,none,none,Y
O14879,IFIT3,IFIT3_HUMAN,IFIT4,none,Y
O14879,IFIT3,IFIT3_HUMAN,IFI60,none,Y
O14879,IFIT3,IFIT3_HUMAN,ISG60,none,Y
O14879,IFIT3,IFIT3_HUMAN,CIG-49,none,Y
O14880,MGST3,MGST3_HUMAN,none,none,Y
O14893,GEMIN2,GEMI2_HUMAN,SIP1,none,Y
O14894,TM4SF5,T4S5_HUMAN,none,none,Y
O14896,IRF6,IRF6_HUMAN,none,none,Y
O14901,KLF11,KLF11_HUMAN,TIEG2,none,Y
O14901,KLF11,KLF11_HUMAN,FKLF,none,Y
O14904,WNT9A,WNT9A_HUMAN,WNT14,none,Y
O14905,WNT9B,WNT9B_HUMAN,WNT15,UNQ6973/PRO21956,Y
O14905,WNT9B,WNT9B_HUMAN,WNT14B,UNQ6973/PRO21956,Y
O14907,TAX1BP3,TX1B3_HUMAN,TIP1,none,Y
O14908,GIPC1,GIPC1_HUMAN,C19orf3,none,Y
O14908,GIPC1,GIPC1_HUMAN,GIPC,none,Y
O14908,GIPC1,GIPC1_HUMAN,RGS19IP1,none,Y
O14910,LIN7A,LIN7A_HUMAN,MALS1,none,Y
O14910,LIN7A,LIN7A_HUMAN,VELI1,none,Y
O14917,PCDH17,PCD17_HUMAN,PCH68,none,Y
O14917,PCDH17,PCD17_HUMAN,PCDH68,none,Y
O14920,IKBKB,IKKB_HUMAN,IKKB,none,Y
O14921,RGS13,RGS13_HUMAN,none,none,Y
O14924,RGS12,RGS12_HUMAN,none,none,Y
O14925,TIMM23,TIM23_HUMAN,TIM23,none,Y
O14926,FSCN2,FSCN2_HUMAN,none,none,Y
O14929,HAT1,HAT1_HUMAN,KAT1,none,Y
O14931,NCR3,NCTR3_HUMAN,LY117,none,Y
O14931,NCR3,NCTR3_HUMAN,1C7,none,Y
O14933,UBE2L6,UB2L6_HUMAN,UBCH8,none,Y
O14936,CASK,CSKP_HUMAN,LIN2,none,Y
O14939,PLD2,PLD2_HUMAN,none,none,Y
O14944,EREG,EREG_HUMAN,none,none,Y
O14948,TFEC,TFEC_HUMAN,TCFEC,none,Y
O14948,TFEC,TFEC_HUMAN,TFECL,none,Y
O14948,TFEC,TFEC_HUMAN,BHLHE34,none,Y
O14949,UQCRQ,QCR8_HUMAN,none,none,Y
O14950,MYL12B,ML12B_HUMAN,MRLC2,none,Y
O14950,MYL12B,ML12B_HUMAN,MYLC2B,none,Y
O14957,UQCR11,QCR10_HUMAN,UQCR,none,Y
O14958,CASQ2,CASQ2_HUMAN,none,none,Y
O14960,LECT2,LECT2_HUMAN,none,none,Y
O14964,HGS,HGS_HUMAN,HRS,none,Y
O14965,AURKA,AURKA_HUMAN,ARK1,none,Y
O14965,AURKA,AURKA_HUMAN,AURA,none,Y
O14965,AURKA,AURKA_HUMAN,AYK1,none,Y
O14965,AURKA,AURKA_HUMAN,STK6,none,Y
O14965,AURKA,AURKA_HUMAN,STK15,none,Y
O14965,AURKA,AURKA_HUMAN,AIK,none,Y
O14965,AURKA,AURKA_HUMAN,BTAK,none,Y
O14965,AURKA,AURKA_HUMAN,AIRK1,none,Y
O14965,AURKA,AURKA_HUMAN,IAK1,none,Y
O14966,RAB29,RAB7L_HUMAN,RAB7L1,none,Y
O14967,CLGN,CLGN_HUMAN,none,none,Y
O14972,VPS26C,VP26C_HUMAN,DSCR3,none,Y
O14972,VPS26C,VP26C_HUMAN,DSCRA,none,Y
O14972,VPS26C,VP26C_HUMAN,DCRA,none,Y
O14974,PPP1R12A,MYPT1_HUMAN,MBS,none,Y
O14974,PPP1R12A,MYPT1_HUMAN,MYPT1,none,Y
O14975,SLC27A2,S27A2_HUMAN,FATP2,none,Y
O14975,SLC27A2,S27A2_HUMAN,FACVL1,none,Y
