accid,gene,uniprot_id,gene_synonym,gene_orfname,reviewed
A0A0A6YYC5,TRAV14DV4,TVA14_HUMAN,none,none,Y
A0A0A6YYD4,TRBV13,TVB13_HUMAN,none,none,Y
A0A0A6YYG2,TRBV6-6,TVB66_HUMAN,none,none,Y
A0A0A6YYG3,TRBV6-8,TVB68_HUMAN,none,none,Y
A0A0A6YYJ7,TRAV8-3,TVA83_HUMAN,none,none,Y
A0A0A6YYK1,TRAV8-1,TVA81_HUMAN,none,none,Y
A0A0A6YYK6,TRAV16,TVA16_HUMAN,none,none,Y
A0A0A6YYK7,TRAV19,TVA19_HUMAN,none,none,Y
A0A0A6YYL3,POTEB,POTEB_HUMAN,none,none,Y
A0A0B4J1U3,IGLV1-36,LV136_HUMAN,none,none,Y
A0A0B4J1U4,TRGV5,TRGV5_HUMAN,TCRGV5,none,Y
A0A0B4J1U6,TRBV9,TVB9_HUMAN,none,none,Y
A0A0B4J1U7,IGHV6-1,HV601_HUMAN,none,none,Y
A0A0B4J1V0,IGHV3-15,HV315_HUMAN,none,none,Y
A0A0B4J1V1,IGHV3-21,HV321_HUMAN,none,none,Y
A0A0B4J1V2,IGHV2-26,HV226_HUMAN,none,none,Y
A0A0B4J1V6,IGHV3-73,HV373_HUMAN,none,none,Y
A0A0B4J1V7,IGHV7-81,HV781_HUMAN,none,none,Y
A0A0B4J1X5,IGHV3-74,HV374_HUMAN,none,none,Y
A0A0B4J1X8,IGHV3-43,HV343_HUMAN,none,none,Y
A0A0B4J1Y8,IGLV9-49,LV949_HUMAN,none,none,Y
A0A0B4J1Y9,IGHV3-72,HV372_HUMAN,none,none,Y
A0A0B4J1Z2,IGKV1D-43,KVD43_HUMAN,none,none,Y
A0A0B4J200,TRBJ2-3,TJB23_HUMAN,none,hCG_2039521,Y
A0A0B4J234,TRAV2,TVA2_HUMAN,none,none,Y
A0A0B4J235,TRAV13-2,TVAM2_HUMAN,none,none,Y
A0A0B4J237,TRAV8-2,TVA82_HUMAN,none,none,Y
A0A0B4J238,TRAV1-2,TVA12_HUMAN,none,none,Y
A0A0B4J240,TRAV10,TVA10_HUMAN,none,none,Y
A0A0B4J241,TRAV13-1,TVAM1_HUMAN,none,none,Y
A0A0B4J244,TRAV3,TVA3_HUMAN,none,none,Y
A0A0B4J245,TRAV12-1,TVAL1_HUMAN,none,none,Y
A0A0B4J248,TRAV1-1,TVA11_HUMAN,none,none,Y
A0A0B4J249,TRAV5,TVA5_HUMAN,none,none,Y
A0A0B4J262,TRAV8-6,TVA86_HUMAN,none,none,Y
A0A0B4J263,TRAV39,TVA39_HUMAN,none,none,Y
A0A0B4J264,TRAV38-1,TV381_HUMAN,none,none,Y
A0A0B4J265,TRAV26-2,TVAZ2_HUMAN,none,none,Y
A0A0B4J266,TRAV41,TVA41_HUMAN,none,none,Y
A0A0B4J268,TRAV4,TVA4_HUMAN,none,none,Y
A0A0B4J271,TRAV12-3,TVAL3_HUMAN,none,none,Y
A0A0B4J272,TRAV24,TVA24_HUMAN,none,none,Y
A0A0B4J273,TRAV34,TVA34_HUMAN,none,none,Y
A0A0B4J274,TRAV20,TVA20_HUMAN,none,none,Y
A0A0B4J275,TRAV17,TVA17_HUMAN,none,none,Y
A0A0B4J276,TRAV25,TVA25_HUMAN,none,none,Y
A0A0B4J277,TRAV22,TVA22_HUMAN,none,none,Y
A0A0B4J279,TRAV21,TVA21_HUMAN,none,none,Y
A0A0B4J280,TRAV40,TVA40_HUMAN,none,none,Y
A0A0B4J2A2,PPIAL4C,PAL4C_HUMAN,none,none,Y
A0A0B4J2D5,GATD3B,GAL3B_HUMAN,KNPI,none,Y
A0A0B4J2D5,GATD3B,GAL3B_HUMAN,HES1,none,Y
A0A0B4J2D9,IGKV1D-13,KVD13_HUMAN,none,none,Y
A0A0B4J2E0,TRBV12-4,TVBL4_HUMAN,none,none,Y
A0A0B4J2F0,PIGBOS1,PIOS1_HUMAN,none,none,Y
A0A0B4J2F2,SIK1B,SIK1B_HUMAN,none,none,Y
A0A0B4J2H0,IGHV1-69D,HV69D_HUMAN,none,none,Y
A0A0C4DH24,IGKV6-21,KV621_HUMAN,none,none,Y
A0A0C4DH25,IGKV3D-20,KVD20_HUMAN,none,none,Y
A0A0C4DH26,IGKV6D-41,KVD41_HUMAN,none,none,Y
A0A0C4DH27,TRGV8,TRGV8_HUMAN,TCRGV8,none,Y
A0A0C4DH28,TRGV4,TRGV4_HUMAN,TCRGV4,none,Y
A0A0C4DH29,IGHV1-3,HV103_HUMAN,none,none,Y
A0A0C4DH30,IGHV3-16,HV316_HUMAN,none,none,Y
A0A0C4DH31,IGHV1-18,HV118_HUMAN,none,none,Y
A0A0C4DH32,IGHV3-20,HV320_HUMAN,none,none,Y
A0A0C4DH33,IGHV1-24,HV124_HUMAN,none,none,Y
A0A0C4DH34,IGHV4-28,HV428_HUMAN,none,none,Y
A0A0C4DH35,IGHV3-35,HV335_HUMAN,none,none,Y
A0A0C4DH36,IGHV3-38,HV338_HUMAN,none,none,Y
A0A0C4DH38,IGHV5-51,HV551_HUMAN,none,none,Y
A0A0C4DH39,IGHV1-58,HV158_HUMAN,none,none,Y
A0A0C4DH41,IGHV4-61,HV461_HUMAN,none,none,Y
A0A0C4DH42,IGHV3-66,HV366_HUMAN,none,none,Y
A0A0C4DH43,IGHV2-70D,HV70D_HUMAN,none,none,Y
A0A0C4DH55,IGKV3D-7,KVD07_HUMAN,none,none,Y
A0A0C4DH59,TRBV5-4,TVB54_HUMAN,none,none,Y
A0A0C4DH62,IGHJ1,HJ01_HUMAN,none,none,Y
A0A0C4DH67,IGKV1-8,KV108_HUMAN,none,none,Y
A0A0C4DH68,IGKV2-24,KV224_HUMAN,none,none,Y
A0A0C4DH69,IGKV1-9,KV109_HUMAN,none,none,Y
A0A0C4DH72,IGKV1-6,KV106_HUMAN,none,none,Y
A0A0C4DH73,IGKV1-12,KV112_HUMAN,none,none,Y
A0A0C5B5G6,MT-RNR1,MOTSC_HUMAN,none,none,Y
A0A0D9SF12,CCDC163,CC163_HUMAN,C1orf231,none,Y
A0A0D9SF12,CCDC163,CC163_HUMAN,CCDC163P,none,Y
A0A0G2JMD5,PRAMEF33,PRA33_HUMAN,none,none,Y
A0A0G2JMI3,IGHV1-69-2,HV692_HUMAN,none,none,Y
A0A0G2JS06,IGLV5-39,LV539_HUMAN,none,none,Y
A0A0J9YVY3,IGHV7-4-1,HV741_HUMAN,none,none,Y
A0A0J9YWL9,TEX13C,TX13C_HUMAN,none,none,Y
A0A0J9YWP8,TRBJ1-3,TJB13_HUMAN,none,none,Y
A0A0J9YWX3,TRBJ1-6,TJB16_HUMAN,none,none,Y
A0A0J9YX06,TRBJ1-2,TJB12_HUMAN,none,none,Y
A0A0J9YX35,IGHV3-64D,HV64D_HUMAN,none,none,Y
A0A0J9YX75,TRBV6-9,TVB69_HUMAN,none,none,Y
A0A0J9YX94,PNMA6F,PMA6F_HUMAN,PNMA6BL,none,Y
A0A0J9YXA8,TRBJ1-1,TJB11_HUMAN,none,none,Y
A0A0J9YXG5,TRBJ1-4,TJB14_HUMAN,none,none,Y
A0A0J9YXM7,TRBJ1-5,TJB15_HUMAN,none,none,Y
A0A0J9YXQ4,PNMA6E,PMA6E_HUMAN,none,none,Y
A0A0J9YXX1,IGHV5-10-1,HV5X1_HUMAN,none,none,Y
A0A0J9YXY3,TRBV6-2,TVB62_HUMAN,none,none,Y
A0A0J9YY54,TEX13D,TX13D_HUMAN,none,none,Y
A0A0K0K1A3,TRBV10-1,TVBJ1_HUMAN,none,none,Y
A0A0K0K1A5,TRBV6-5,TVB65_HUMAN,none,none,Y
A0A0K0K1B3,TRBV30,TVB30_HUMAN,none,none,Y
A0A0K0K1C0,TRBV11-1,TVBK1_HUMAN,none,none,Y
A0A0K0K1C4,TRBV27,TVB27_HUMAN,none,none,Y
A0A0K0K1D8,TRBV6-1,TVB61_HUMAN,none,none,Y
A0A0K0K1E9,TRBV7-7,TVB77_HUMAN,none,none,Y
A0A0K0K1G6,TRBV10-3,TVBJ3_HUMAN,none,none,Y
A0A0K0K1G8,TRBV10-2,TVBJ2_HUMAN,none,none,Y
A0A0K2S4Q6,CD300H,CD3CH_HUMAN,none,none,Y
A0A0U1RQE8,GLYATL1B,GLYLB_HUMAN,none,none,Y
A0A0U1RQF7,DPEP2NB,DP2NB_HUMAN,none,none,Y
A0A0U1RQI7,KLF18,KLF18_HUMAN,none,none,Y
A0A0U1RQS6,TMEM275,TM275_HUMAN,none,none,Y
A0A0U1RR11,CENPVL1,CENL1_HUMAN,CENPVP1,none,Y
A0A0U1RR37,C1orf232,CA232_HUMAN,none,none,Y
A0A0U1RRE5,NBDY,NBDY_HUMAN,LINC01420,none,Y
A0A0U1RRI6,CENPVL3,CENL3_HUMAN,CENPVP3,none,Y
A0A0U1RRK4,LBHD2,LBHD2_HUMAN,none,none,Y
A0A0U1RRL7,MMP24OS,MMPOS_HUMAN,MMP24-AS1,none,Y
A0A0U1RRN3,SPTY2D1OS,SPTOS_HUMAN,SPTY2D1-AS1,none,Y
A0A140G945,CRYAA2,CRYA2_HUMAN,CRYAA,none,Y
A0A183,LCE6A,LCE6A_HUMAN,C1orf44,none,Y
A0A1B0GTC6,C3orf85,CC085_HUMAN,none,none,Y
A0A1B0GTD5,TEX49,TEX49_HUMAN,none,none,Y
A0A1B0GTH6,CSNKA2IP,CS2IP_HUMAN,none,none,Y
A0A1B0GTI1,CCDC201,CC201_HUMAN,none,none,Y
A0A1B0GTI8,TMEM272,TM272_HUMAN,none,none,Y
A0A1B0GTK4,FAM237A,F237A_HUMAN,none,none,Y
A0A1B0GTK5,FAM236D,F236D_HUMAN,none,none,Y
A0A1B0GTL2,C20orf204,CT204_HUMAN,PRR17,none,Y
A0A1B0GTQ4,MYMX,MYMX_HUMAN,none,none,Y
A0A1B0GTR0,EDDM13,EDD13_HUMAN,none,none,Y
A0A1B0GTR3,CXorf51A,CX05A_HUMAN,CXorf51,none,Y
A0A1B0GTR4,SPRR5,SPRR5_HUMAN,none,none,Y
A0A1B0GTS1,HSFX4,HSFX4_HUMAN,none,none,Y
A0A1B0GTU1,ZC3H11B,ZC11B_HUMAN,ZC3HDC11B,none,Y
A0A1B0GTU2,CTXND1,CTXD1_HUMAN,none,none,Y
A0A1B0GTW7,LMLN2,LMLN2_HUMAN,none,none,Y
A0A1B0GTY4,TEX50,TEX50_HUMAN,none,none,Y
A0A1B0GTZ2,CCDC196,CC196_HUMAN,C14orf53,none,Y
A0A1B0GTZ2,CCDC196,CC196_HUMAN,NCRNA00238,none,Y
A0A1B0GTZ2,CCDC196,CC196_HUMAN,LINC00238,none,Y
A0A1B0GU29,SMIM28,SIM28_HUMAN,none,none,Y
A0A1B0GU33,TEX53,TEX53_HUMAN,none,none,Y
A0A1B0GU71,CFAP97D2,C97D2_HUMAN,none,none,Y
A0A1B0GUA5,SMIM32,SIM32_HUMAN,none,none,Y
A0A1B0GUA6,CCDC195,CC195_HUMAN,none,none,Y
A0A1B0GUA7,TEX51,TEX51_HUMAN,none,none,Y
A0A1B0GUA9,C13orf46,CM046_HUMAN,none,none,Y
A0A1B0GUC4,MYOCOS,MYCOS_HUMAN,none,none,Y
A0A1B0GUI7,BRD3OS,BRDOS_HUMAN,LINC00094,none,Y
A0A1B0GUI7,BRD3OS,BRDOS_HUMAN,NCRNA00094,none,Y
A0A1B0GUJ8,PNMA8C,PNM8C_HUMAN,none,none,Y
A0A1B0GUQ0,FAM236A,F236A_HUMAN,none,none,Y
A0A1B0GUS0,C19orf85,CS085_HUMAN,none,none,Y
A0A1B0GUS4,UBE2L5,UB2L5_HUMAN,none,none,Y
A0A1B0GUT2,C10orf143,CJ143_HUMAN,none,none,Y
A0A1B0GUU1,C17orf113,CQ113_HUMAN,none,none,Y
A0A1B0GUV7,TEX48,TEX48_HUMAN,none,none,Y
A0A1B0GUW6,SPEM3,SPEM3_HUMAN,none,none,Y
A0A1B0GUW7,SMIM27,SIM27_HUMAN,TOPORS-AS1,none,Y
A0A1B0GUW7,SMIM27,SIM27_HUMAN,C9orf133,none,Y
A0A1B0GUX0,ATP6V1FNB,VAFNB_HUMAN,none,none,Y
A0A1B0GUY1,MARCOL,MRCOL_HUMAN,none,none,Y
A0A1B0GV03,GOLGA6L7,GG6L7_HUMAN,none,none,Y
A0A1B0GV22,FAM236B,F236B_HUMAN,none,none,Y
A0A1B0GV85,REELD1,RELD1_HUMAN,none,none,Y
A0A1B0GV90,CTXND2,CTXD2_HUMAN,none,none,Y
A0A1B0GVD1,FAM237B,F237B_HUMAN,none,none,Y
A0A1B0GVG4,CCDC194,CC194_HUMAN,none,none,Y
A0A1B0GVG6,TEX54,TEX54_HUMAN,none,none,Y
A0A1B0GVH4,PRSS51,PRS51_HUMAN,none,none,Y
A0A1B0GVH6,C13orf42,CM042_HUMAN,none,none,Y
A0A1B0GVH7,IQCM,IQCM_HUMAN,none,none,Y
A0A1B0GVK7,FAM240A,F240A_HUMAN,none,none,Y
A0A1B0GVM5,ETDC,ETDC_HUMAN,none,none,Y
A0A1B0GVM6,C11orf97,CK097_HUMAN,none,none,Y
A0A1B0GVN3,C2orf92,CB092_HUMAN,LINC01125,none,Y
